fare_id,origin_id,destination_id
1,1,1
1,1,2
1,1,3
1,1,5
1,1,6
1,1,7
1,1,8
1,8,1
1,7,1
1,6,1
1,5,1
1,3,1
1,2,1
1,3,6
1,6,3
1,3,8
1,8,3
1,6,8
1,8,6
1,6,6
1,7,7
1,8,8
2,1,1
2,1,2
2,1,3
2,1,5
2,1,6
2,1,7
2,1,8
2,8,1
2,7,1
2,6,1
2,5,1
2,3,1
2,2,1
2,3,6
2,6,3
2,3,8
2,8,3
2,6,8
2,8,6
2,6,6
2,7,7
2,8,8
3,1,1
3,1,2
3,1,3
3,1,5
3,1,6
3,1,7
3,1,8
3,8,1
3,7,1
3,6,1
3,5,1
3,3,1
3,2,1
3,3,6
3,6,3
3,3,8
3,8,3
3,6,8
3,8,6
3,6,6
3,7,7
3,8,8
4,2,2
4,2,6
4,6,2
5,2,2
5,2,6
5,6,2
6,2,2
6,2,6
6,6,2
7,3,3
7,5,5
7,3,7
7,7,3
7,6,7
7,7,6
7,7,8
7,8,7
8,3,3
8,5,5
8,3,7
8,7,3
8,6,7
8,7,6
8,7,8
8,8,7
9,3,3
9,5,5
9,3,7
9,7,3
9,6,7
9,7,6
9,7,8
9,8,7
13,1,78
13,78,1
13,7,78
13,78,7
14,1,78
14,78,1
14,7,78
14,78,7
15,1,78
15,78,1
15,7,78
15,78,7
