route_id,service_id,trip_id,trip_headsign,block_id,direction_id,shape_id
14080,1,4620963,"204 Eagleview",8604,0,175530
14080,1,4620964,"204 Eagleview",8605,0,175530
14080,1,4620965,"204 Eagleview",8602,0,175531
14080,1,4620966,"204 Eagleview",8603,0,175530
14080,1,4620967,"204 Eagleview",8602,0,175525
14080,1,4620968,"204 Eagleview",8603,0,175527
14080,1,4620969,"204 Eagleview",8601,0,175527
14080,1,4620970,"204 Eagleview",8602,0,175527
14080,1,4620971,"204 Eagleview",8601,0,175527
14080,1,4620972,"204 Eagleview",8602,0,175530
14080,1,4620973,"204 Lionville",8604,0,175528
14080,1,4620974,"204 Eagleview",8605,0,175530
14080,1,4620975,"204 Eagleview",8604,0,175531
14080,1,4620976,"204 Eagleview",8604,0,175530
14080,1,4620977,"204 Eagleview",8605,0,175531
14080,1,4620978,"204 Paoli Railroad Station",8602,1,175539
14080,1,4620979,"204 Paoli Railroad Station",8604,1,175535
14080,1,4620980,"204 Paoli Railroad Station",8605,1,175542
14080,1,4620981,"204 Paoli Railroad Station",8604,1,175536
14080,1,4620982,"204 Paoli Railroad Station",8602,1,175541
14080,1,4620983,"204 Paoli Railroad Station",8605,1,175535
14080,1,4620984,"204 Paoli Railroad Station",8605,1,175542
14080,1,4620985,"204 Paoli Railroad Station",8602,1,175541
14080,1,4620986,"204 Paoli Railroad Station",8602,1,175541
14080,1,4620987,"204 Paoli Railroad Station",8603,1,175535
14080,1,4620988,"204 Paoli Railroad Station",8601,1,175540
14080,1,4620989,"204 Paoli Railroad Station",8602,1,175539
14080,1,4620990,"204 Paoli Railroad Station",8604,1,175539
14080,1,4620991,"204 Paoli Railroad Station",8604,1,175541
14080,1,4620992,"204 Paoli Railroad Station",8603,1,175541
14081,1,4541555,"Chesterbrook",8628,0,175546
14081,1,4541556,"Chesterbrook",8627,0,175546
14081,1,4541557,"Chesterbrook",8628,0,175546
14081,1,4541558,"Chesterbrook",8626,0,175546
14081,1,4541559,"Chesterbrook",8626,0,175546
14081,1,4541560,"Chesterbrook",8627,0,175546
