trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
AIR_402_V5_M,05:09:00,05:09:00,90401,1,0,0
AIR_402_V5_M,05:11:00,05:11:00,90402,2,0,0
AIR_402_V5_M,05:12:00,05:12:00,90403,3,0,0
AIR_402_V5_M,05:13:00,05:13:00,90404,4,0,0
AIR_402_V5_M,05:17:00,05:17:00,90405,7,0,0
AIR_402_V5_M,05:27:00,05:27:00,90406,13,0,0
AIR_402_V6_M,05:09:00,05:09:00,90401,1,0,0
AIR_402_V6_M,05:11:00,05:11:00,90402,2,0,0
AIR_402_V6_M,05:12:00,05:12:00,90403,3,0,0
AIR_402_V6_M,05:13:00,05:13:00,90404,4,0,0
AIR_402_V6_M,05:17:00,05:17:00,90405,7,0,0
AIR_402_V6_M,05:27:00,05:27:00,90406,13,0,0
AIR_402_V7_M,05:09:00,05:09:00,90401,1,0,0
AIR_402_V7_M,05:11:00,05:11:00,90402,2,0,0
AIR_402_V7_M,05:12:00,05:12:00,90403,3,0,0
AIR_402_V7_M,05:13:00,05:13:00,90404,4,0,0
AIR_402_V7_M,05:17:00,05:17:00,90405,7,0,0
AIR_402_V7_M,05:27:00,05:27:00,90406,13,0,0
AIR_404_V5_M,06:09:00,06:09:00,90401,1,0,0
AIR_404_V5_M,06:11:00,06:11:00,90402,2,0,0
AIR_404_V5_M,06:12:00,06:12:00,90403,3,0,0
AIR_404_V5_M,06:13:00,06:13:00,90404,4,0,0
AIR_404_V5_M,06:17:00,06:17:00,90405,7,0,0
AIR_404_V5_M,06:27:00,06:27:00,90406,13,0,0
AIR_406_V6_M,06:39:00,06:39:00,90401,1,0,0
AIR_406_V6_M,06:41:00,06:41:00,90402,2,0,0
AIR_406_V6_M,06:42:00,06:42:00,90403,3,0,0
AIR_406_V6_M,06:43:00,06:43:00,90404,4,0,0
AIR_406_V6_M,06:47:00,06:47:00,90405,7,0,0
AIR_406_V6_M,06:57:00,06:57:00,90406,13,0,0
AIR_406_V7_M,06:39:00,06:39:00,90401,1,0,0
AIR_406_V7_M,06:41:00,06:41:00,90402,2,0,0
AIR_406_V7_M,06:42:00,06:42:00,90403,3,0,0
AIR_406_V7_M,06:43:00,06:43:00,90404,4,0,0
AIR_406_V7_M,06:47:00,06:47:00,90405,7,0,0
AIR_406_V7_M,06:57:00,06:57:00,90406,13,0,0
AIR_410_V6_M,07:39:00,07:39:00,90401,1,0,0
AIR_410_V6_M,07:41:00,07:41:00,90402,2,0,0
AIR_410_V6_M,07:42:00,07:42:00,90403,3,0,0
AIR_410_V6_M,07:43:00,07:43:00,90404,4,0,0
AIR_410_V6_M,07:47:00,07:47:00,90405,7,0,0
AIR_410_V6_M,07:57:00,07:57:00,90406,13,0,0
AIR_410_V7_M,07:39:00,07:39:00,90401,1,0,0
AIR_410_V7_M,07:41:00,07:41:00,90402,2,0,0
AIR_410_V7_M,07:42:00,07:42:00,90403,3,0,0
AIR_410_V7_M,07:43:00,07:43:00,90404,4,0,0
AIR_410_V7_M,07:47:00,07:47:00,90405,7,0,0
AIR_410_V7_M,07:57:00,07:57:00,90406,13,0,0
AIR_412_V5_M,08:09:00,08:09:00,90401,1,0,0
AIR_412_V5_M,08:11:00,08:11:00,90402,2,0,0
AIR_412_V5_M,08:12:00,08:12:00,90403,3,0,0
AIR_412_V5_M,08:13:00,08:13:00,90404,4,0,0
AIR_412_V5_M,08:17:00,08:17:00,90405,7,0,0
AIR_412_V5_M,08:27:00,08:27:00,90406,13,0,0
AIR_414_V6_M,08:39:00,08:39:00,90401,1,0,0
AIR_414_V6_M,08:41:00,08:41:00,90402,2,0,0
AIR_414_V6_M,08:42:00,08:42:00,90403,3,0,0
AIR_414_V6_M,08:43:00,08:43:00,90404,4,0,0
AIR_414_V6_M,08:47:00,08:47:00,90405,7,0,0
AIR_414_V6_M,08:57:00,08:57:00,90406,13,0,0
AIR_414_V7_M,08:39:00,08:39:00,90401,1,0,0
AIR_414_V7_M,08:41:00,08:41:00,90402,2,0,0
AIR_414_V7_M,08:42:00,08:42:00,90403,3,0,0
AIR_414_V7_M,08:43:00,08:43:00,90404,4,0,0
AIR_414_V7_M,08:47:00,08:47:00,90405,7,0,0
AIR_414_V7_M,08:57:00,08:57:00,90406,13,0,0
AIR_416_V5_M,09:09:00,09:09:00,90401,1,0,0
AIR_416_V5_M,09:11:00,09:11:00,90402,2,0,0
AIR_416_V5_M,09:12:00,09:12:00,90403,3,0,0
